
#n		RS_T		CS_T		BS_T		RS_L#		CS_L#		BS_L#		RS_UL#		CS_UL#		BS_UL#

10		7961		3101		31757		13(0.3)		7(0.3)		7(0.3)		7(0.1)		13(0.1)		13(0.1)
100		8922		7792		27564		13(0.12)	13(0.12)	13(0.12)	2(0.05)		12(0.05)	12(0.05)
1000		7163		34221		20494		12(0.085)	1(0.085)	1(0.085)	1(0.068)	4(0.068)	4(0.068)
10000		7197		290198		20245		12(0.0805)	10(0.0805)	10(0.0805)	1(0.0714)	7(0.0714)	7(0.0714)
